,match_id,team_a,team_b,team_a_runs,team_b_runs
0,1001349,Australia,Sri Lanka,168,172
1,1001351,Australia,Sri Lanka,173,176
2,1001353,Australia,Sri Lanka,187,146
3,1004729,Hong Kong,Ireland,169,129
4,1007655,Zimbabwe,India,170,168
5,1007657,Zimbabwe,India,99,103
6,1007659,India,Zimbabwe,138,135
7,1019979,Bangladesh,New Zealand,141,143
8,1019981,New Zealand,Bangladesh,195,148
9,1019983,New Zealand,Bangladesh,194,167
10,1020029,South Africa,New Zealand,185,107
11,1031431,South Africa,England,142,143
12,1031433,South Africa,England,174,171
13,1031435,England,South Africa,181,162
14,1031665,West Indies,England,176,155
15,1034825,India,England,147,148
16,1034827,India,England,144,139
17,1034829,India,England,202,127
18,1041615,West Indies,India,245,244
19,1050217,West Indies,Pakistan,115,116
20,1050219,Pakistan,West Indies,160,144
21,1050221,West Indies,Pakistan,103,108
22,1072316,New Zealand,Australia,117,96
23,1072317,England,Australia,155,161
24,1072318,England,Australia,137,138
25,1072319,New Zealand,England,196,184
26,1072320,New Zealand,Australia,243,245
27,1072321,England,New Zealand,194,192
28,1072322,New Zealand,Australia,150,121
29,1074957,Scotland,Hong Kong,189,165
30,1074959,Oman,Netherlands,146,148
31,1074961,Hong Kong,Oman,87,89
32,1074964,Scotland,Netherlands,148,141
33,1074965,Ireland,United Arab Emirates,160,136
34,1074966,Hong Kong,Netherlands,183,92
35,1074968,Oman,Scotland,133,134
36,1074970,Ireland,Scotland,211,113
37,1075507,South Africa,Bangladesh,195,175
38,1077947,West Indies,Pakistan,111,115
39,1077948,Pakistan,West Indies,132,129
40,1083449,Bangladesh,Sri Lanka,155,158
41,1083450,Bangladesh,Sri Lanka,176,131
42,1085495,Pakistan,West Indies,137,138
43,1085496,West Indies,Pakistan,124,127
44,1089202,Papua New Guinea,United Arab Emirates,102,108
45,1089203,United Arab Emirates,Papua New Guinea,180,150
46,1089243,Papua New Guinea,United Arab Emirates,128,130
47,1098211,India,West Indies,190,194
48,1109610,Sri Lanka,India,170,174
49,1115798,New Zealand,West Indies,187,140
50,1115800,New Zealand,West Indies,243,124
51,1115807,Pakistan,New Zealand,105,106
52,1115808,Pakistan,New Zealand,201,153
53,1115809,Pakistan,New Zealand,181,163
54,1117821,Pakistan,ICC World XI,197,177
55,1117822,Pakistan,ICC World XI,174,175
56,1117824,Pakistan,ICC World XI,183,150
57,1119501,Australia,India,118,49
58,1119502,India,Australia,118,122
59,1119542,England,Australia,221,193
60,1119543,England,India,159,163
61,1119544,India,England,148,149
62,1119545,England,India,198,201
63,1120093,India,New Zealand,202,149
64,1120094,New Zealand,India,196,156
65,1120095,India,New Zealand,67,61
66,1120291,Sri Lanka,Pakistan,102,103
67,1120292,Sri Lanka,Pakistan,124,125
68,1120293,Pakistan,Sri Lanka,180,144
69,1122285,India,South Africa,203,175
70,1122286,India,South Africa,188,189
71,1122287,India,South Africa,172,165
72,1122729,India,Sri Lanka,180,87
73,1122730,India,Sri Lanka,260,172
74,1122731,Sri Lanka,India,135,139
75,1127300,Pakistan,Scotland,204,156
76,1127301,Pakistan,Scotland,166,82
77,1130746,Bangladesh,Sri Lanka,193,194
78,1130747,Sri Lanka,Bangladesh,210,135
79,1133817,India,Sri Lanka,174,175
80,1133818,Bangladesh,India,139,140
81,1133819,Sri Lanka,Bangladesh,214,215
82,1133820,Sri Lanka,India,152,153
83,1133821,India,Bangladesh,176,159
84,1133822,Sri Lanka,Bangladesh,159,160
85,1133823,Bangladesh,India,166,168
86,1140069,Pakistan,West Indies,203,60
87,1140070,Pakistan,West Indies,205,123
88,1140071,West Indies,Pakistan,153,154
89,1140384,England,Sri Lanka,187,157
90,1140992,India,Ireland,208,132
91,1140993,India,Ireland,213,70
92,1141232,West Indies,ICC World XI,199,127
93,1142501,Netherlands,Ireland,144,140
94,1142502,Ireland,Netherlands,158,159
95,1142505,Netherlands,Scotland,160,161
96,1142506,Scotland,Netherlands,221,106
97,1142589,South Africa,Sri Lanka,98,99
